Service description,Service ID,List cost (USD),Negotiated savings (USD),Savings programs (USD),Other savings (USD),Unrounded subtotal (USD),Subtotal (USD),Percent change in subtotal compared to previous period
Cloud Composer,1992-3666-B975,1467.15,0.00,0.00,0.00,1459.450476,1459.45,29%
Cloud Run,152E-C115-5142,1349.68,0.00,0.00,-3.72,1269.079809,1269.08,35%
Compute Engine,6F81-5844-456A,1277.74,0.00,0.00,-34.29,1161.696561,1161.70,43%
Networking,E505-1604-58F8,716.01,0.00,0.00,-152.26,618.319893,618.32,61%
Cloud Run Functions,29E7-DA93-CA13,561.06,0.00,0.00,-5.62,493.741525,493.74,89%
Cloud Logging,5490-F7B7-8DF6,553.70,0.00,0.00,0.00,516.991433,516.99,42%
Cloud SQL,9662-B51E-5089,525.51,0.00,0.00,0.00,500.772840,500.77,43%
App Engine,F17B-412E-CB64,507.00,0.00,0.00,0.00,540.267481,540.27,57%
Cloud Tasks,F3A6-D7B7-9BDA,325.41,0.00,0.00,0.00,324.431859,324.43,-27%
Cloud Dataflow,57D6-8E6B-2DE0,156.08,0.00,0.00,0.00,161.885486,161.89,21%
Kubernetes Engine,CCD8-9BF1-090E,79.62,0.00,0.00,-20.00,57.354530,57.35,New
Cloud Monitoring,58CD-E7C3-72CA,55.63,0.00,0.00,0.00,57.940199,57.94,60%
Cloud Storage,95FF-2EF5-5EA1,38.58,0.00,0.00,0.00,41.660139,41.66,43%
Artifact Registry,149C-F9EC-3994,30.43,0.00,0.00,0.00,31.648023,31.65,32%
Secret Manager,EE82-7A5E-871C,21.34,0.00,0.00,0.00,20.803771,20.80,32%
Cloud Build,8B5D-EF7D-EB12,17.04,0.00,0.00,0.00,16.597903,16.60,-8%
Cloud Scheduler,1F14-4801-0E16,15.41,0.00,0.00,0.00,14.891167,14.89,37%
SendGrid Email API,2431-6410-693F,14.53,0.00,0.00,0.00,14.126957,14.13,3%
Cloud DNS,FA26-5236-B8B5,12.66,0.00,0.00,0.00,14.599442,14.60,45%
Certificate Authority Service,BAE4-9668-BD24,11.52,0.00,0.00,0.00,12.137621,12.14,New
Cloud Pub/Sub,A1E8-BE35-7EBC,4.40,0.00,0.00,0.00,3.904606,3.90,1%
Workflows,E722-8436-A7EB,1.84,0.00,0.00,0.00,1.798048,1.80,153%
BigQuery,24E6-581D-38E5,1.06,0.00,0.00,0.00,0.983936,0.98,45%
Vertex AI,C7E2-9256-1C43,0.00,0.00,0.00,0.00,0.002795,0.00,New
VM Manager,5E18-9A83-2867,1.61,0.00,0.00,-1.51,0.000000,0.00,-7%
,,,,,Subtotal,7335.086500,7335.08
,,,,,Tax,0.000000,0.00
,,,,,Invoice total,7335.086500,7335.08
